"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Items added before navigation are still present in the cart after navigating away and back.","3571","TC-CRT-017 Cart persists on navigation for logged-in user","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"All three products from Phones, Laptops, and Monitors appear in the cart.","4225","TC-CRT-021 Add products from all available categories","firefox","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"The product added is listed in the cart with its title and price.","2198","TC-CRT-003 Added product appears in cart","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Modal contains: Name, Country, City, Credit Card, Month, Year fields and a Purchase button.","5300","TC-CRT-010 Order modal contains all required fields","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Modal contains: Name, Country, City, Credit Card, Month, Year fields and a Purchase button.","1938","TC-CRT-010 Order modal contains all required fields","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Modal closes. Cart contents are unchanged. No order is placed.","3372","TC-CRT-019 Place Order modal can be closed via Close button","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"A success confirmation appears showing order details. The cart is cleared afterward.","6401","TC-CRT-011 Successful order placement with all fields filled","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The Total displayed equals the arithmetic sum of all individual item prices.","3323","TC-CRT-015 Cart total equals sum of all item prices","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"All 8 items are listed. Total equals sum of items. No UI overflow or display issues.","4836","TC-CRT-026 Cart total with large number of items (8+ items)","firefox","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"Guest user can add items to cart and view the cart page without being required to log in.","2094","TC-CRT-016 Cart accessible without login (guest user)","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"'Log in' and 'Sign up' links are NOT visible. Only 'Welcome <username>' and 'Log out' are shown.","3182","TC-LOG-007 Log in and Sign up nav links hidden while logged in","firefox","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"'Log in' and 'Sign up' links are NOT visible. Only 'Welcome <username>' and 'Log out' are shown.","5670","TC-LOG-007 Log in and Sign up nav links hidden while logged in","webkit","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"Modal closes without performing any login. User remains logged out.","4694","TC-LOG-005 Login modal closes via Close button","webkit","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"The Total displayed equals the arithmetic sum of all individual item prices.","2399","TC-CRT-015 Cart total equals sum of all item prices","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"A browser alert appears with a confirmation message such as 'Product added'.","1870","TC-CRT-002 Browser alert shown after adding product to cart","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"A success confirmation appears showing order details. The cart is cleared afterward.","3376","TC-CRT-011 Successful order placement with all fields filled","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"All three products from Phones, Laptops, and Monitors appear in the cart.","3270","TC-CRT-021 Add products from all available categories","chromium","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"System either accepts the order or shows a clear validation error. No crash occurs.","8545","TC-CRT-023 Place order with only Name and Credit Card filled","webkit","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"Items added before navigation are still present in the cart after navigating away and back.","4571","TC-CRT-017 Cart persists on navigation for logged-in user","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The Place Order modal opens with input fields and a 'Purchase' button.","2966","TC-CRT-009 'Place Order' button opens order modal","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The confirmation shows the correct total amount matching the cart total.","3731","TC-CRT-012 Order confirmation displays correct amount","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Username and password fields are saved when the modal is reopened","2545","TC-LOG-006 Fields are saved when modal is reopened","firefox","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"The product added is listed in the cart with its title and price.","3288","TC-CRT-003 Added product appears in cart","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Order is placed successfully or system shows a graceful validation error. No crash.","2790","TC-CRT-024 Place order with very long Name input (100+ chars)","chromium","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"The name in the cart exactly matches the product name shown on the product detail page.","4414","TC-CRT-004 Cart shows correct product name","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The nav bar displays Welcome <username> where <username> exactly matches the credential used.","2147","TC-LOG-003 Welcome message shows correct username after login","chromium","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"'Log in' and 'Sign up' links are NOT visible. Only 'Welcome <username>' and 'Log out' are shown.","2196","TC-LOG-007 Log in and Sign up nav links hidden while logged in","chromium","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"All 8 items are listed. Total equals sum of items. No UI overflow or display issues.","4123","TC-CRT-026 Cart total with large number of items (8+ items)","webkit","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"Login succeeds without error. Requires a pre-registered account with username user!@#.","2750","TC-LOG-009 Login with special characters in username","firefox","2026-08-17","passed","2026-08-17","Login > Edge Case","login.spec.ts","",""
"After confirming the order, the cart is empty — no items listed, total shows 0.","3712","TC-CRT-013 Cart is empty after successful order placement","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The price in the cart matches the price displayed on the product detail page.","4652","TC-CRT-005 Cart shows correct product price","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The name in the cart exactly matches the product name shown on the product detail page.","3245","TC-CRT-004 Cart shows correct product name","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The item is removed from the cart. The cart table no longer shows the deleted product.","4398","TC-CRT-007 Delete button removes item from cart","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"A success confirmation appears showing order details. The cart is cleared afterward.","2651","TC-CRT-011 Successful order placement with all fields filled","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The Login modal appears with a Username field, Password field, and a Log in button.","3421","TC-LOG-001 Login modal opens on click","firefox","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"Characters entered in the password field are displayed as dots/asterisks, not plain text.","1729","TC-LOG-010 Password field masks input","firefox","2026-08-17","passed","2026-08-17","Login > Edge Case","login.spec.ts","",""
"Modal closes. Cart contents are unchanged. No order is placed.","3790","TC-CRT-018 Place Order modal can be closed via X button","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Guest user can add items to cart and view the cart page without being required to log in.","1798","TC-CRT-016 Cart accessible without login (guest user)","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"A browser alert appears with a confirmation message such as 'Product added'.","2428","TC-CRT-002 Browser alert shown after adding product to cart","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"After confirming the order, the cart is empty — no items listed, total shows 0.","4573","TC-CRT-013 Cart is empty after successful order placement","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The Total displayed equals the arithmetic sum of all individual item prices.","4871","TC-CRT-015 Cart total equals sum of all item prices","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"After refresh, the user remains logged in and the nav bar still shows 'Welcome <username>'.","2546","TC-LOG-011 Login session persists after page refresh","chromium","2026-08-17","passed","2026-08-17","Login > Edge Case","login.spec.ts","",""
"After each deletion the item disappears. After the last deletion, the cart is empty and total shows 0.","5214","TC-CRT-022 Delete all items from cart one by one","firefox","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"Username and password fields are saved when the modal is reopened","2060","TC-LOG-006 Fields are saved when modal is reopened","chromium","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"Modal closes. Nav bar shows 'Welcome <username>'. Log in and Sign up links are replaced by Log out.","6254","TC-LOG-002 Successful login with valid credentials","webkit","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"A thumbnail image of the product is displayed in the cart row.","2155","TC-CRT-006 Cart displays product thumbnail image","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The name in the cart exactly matches the product name shown on the product detail page.","2107","TC-CRT-004 Cart shows correct product name","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Cart shows both product A and product B as separate line items.","2319","TC-CRT-014 Multiple different products can be added to cart","chromium","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Guest user can add items to cart and view the cart page without being required to log in.","3284","TC-CRT-016 Cart accessible without login (guest user)","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The Total price decreases by the deleted item price and reflects the remaining items sum.","5652","TC-CRT-008 Cart total updates after deleting an item","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"System either accepts the order or shows a clear validation error. No crash occurs.","6481","TC-CRT-023 Place order with only Name and Credit Card filled","chromium","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"The nav bar displays Welcome <username> where <username> exactly matches the credential used.","2760","TC-LOG-003 Welcome message shows correct username after login","firefox","2026-08-17","passed","2026-08-17","Login > Functional","login.spec.ts","",""
"All three products from Phones, Laptops, and Monitors appear in the cart.","6641","TC-CRT-021 Add products from all available categories","webkit","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
"The price in the cart matches the price displayed on the product detail page.","3190","TC-CRT-005 Cart shows correct product price","firefox","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The Total price decreases by the deleted item price and reflects the remaining items sum.","8771","TC-CRT-008 Cart total updates after deleting an item","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"The product added is listed in the cart with its title and price.","4340","TC-CRT-003 Added product appears in cart","webkit","2026-08-17","passed","2026-08-17","Cart > Functional","cart.spec.ts","",""
"Cart shows product X twice as separate rows. Total reflects both units.","3596","TC-CRT-020 Add the same product to cart twice","webkit","2026-08-17","passed","2026-08-17","Cart > Edge Case","cart.spec.ts","",""
